iter	Passed	Remaining
0	2	296
1	22	1085
2	25	840
3	27	667
4	29	569
5	32	508
6	42	561
7	44	511
8	47	476
9	49	445
10	55	446
11	57	423
12	60	401
13	63	388
14	65	368
15	74	393
16	77	376
17	79	364
18	84	360
19	86	346
20	88	332
21	91	325
22	94	315
23	96	304
24	106	318
25	108	308
26	110	299
27	114	294
28	118	289
29	120	280
30	122	272
31	125	266
32	138	280
33	140	271
34	142	264
35	148	263
36	150	256
37	152	248
38	156	244
39	165	248
40	167	241
41	168	233
42	170	226
43	174	222
44	178	218
45	181	213
46	184	207
47	186	201
48	188	196
49	198	198
50	202	194
51	204	188
52	208	184
53	211	180
54	213	174
55	215	169
56	217	163
57	224	162
58	226	157
59	230	153
60	232	148
61	235	144
62	239	140
63	243	136
64	247	133
65	259	133
66	271	133
67	273	128
68	275	123
69	278	119
70	289	118
71	292	113
72	295	109
73	299	105
74	304	101
75	306	96
76	308	92
77	310	87
78	314	83
79	317	79
80	319	74
81	325	71
82	328	67
83	330	62
84	333	58
85	345	56
86	347	51
87	357	48
88	362	44
89	365	40
90	370	36
91	373	32
92	375	28
93	378	24
94	384	20
95	387	16
96	389	12
97	391	7
98	394	3
99	403	0
